City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
265,Collierville,US,79.88,few clouds,35.042,-89.6645,Hampton Inn Memphis/Collierville
271,Toamasina,MG,73.09,clear sky,-18.1667,49.3833,Hotel H1
272,Tete,MZ,73.49,broken clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
275,Ierapetra,GR,69.15,clear sky,35.01,25.7353,Cretan Villa Hotel & Apartments in Ierapetra Crete.
293,Yeppoon,AU,67.78,few clouds,-23.1333,150.7333,Villa Mar Colina
299,Labuhan,ID,79.75,moderate rain,-6.8844,112.2051,DoubleFAG
304,Andros Town,BS,76.96,clear sky,24.7,-77.7667,Hanks place
309,Komsomolskiy,UZ,65.12,overcast clouds,40.4272,71.7189,Ikathouse
313,Sawtell,AU,67.19,broken clouds,-30.3833,153.1,The Bungalow Sawtell
316,Antalaha,MG,76.03,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
326,Takanabe,JP,66.2,moderate rain,32.1333,131.5,Hotel AZ Miyazaki Takanabe
330,Price,US,69.12,overcast clouds,39.5994,-110.8107,National 9 - Price River Inn
332,Takoradi,GH,78.58,overcast clouds,4.8845,-1.7554,Raybow International Hotel
333,Marovoay,MG,76.48,light rain,-16.1,46.6333,Hôtel les Oliviers Marovoay
337,Ewa Beach,US,78.6,scattered clouds,21.3156,-158.0072,Base Lodging
343,Salon-De-Provence,FR,69.03,clear sky,43.6407,5.0954,HÔTEL SELECT - Contact Hôtel
347,Dimbokro,CI,76.98,overcast clouds,6.6451,-4.7048,complexe hôtelier le jardin d'Eden
364,Quevedo,EC,78.75,light rain,-1.0333,-79.45,Hotel Tuistico Ejecutivo
365,Meulaboh,ID,77.68,scattered clouds,4.1363,96.1285,Kost Pria
367,Matucana,PE,68.27,overcast clouds,-11.85,-76.4,Hostal La Fontana
369,Balogo,PH,77.31,overcast clouds,10.8868,124.7105,LGS Scandinavia Resort
372,Bud,US,66.88,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
373,Soyo,AO,77.92,overcast clouds,-6.1349,12.3689,Hotel Mpampa
374,Muisne,EC,78.98,light rain,0.6,-80.0333,Quinta Samay
376,Balikpapan,ID,77.99,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
377,Sambava,MG,76.82,few clouds,-14.2667,50.1667,Melrose
379,Zhanakorgan,KZ,71.2,overcast clouds,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
380,Gushikawa,JP,78.8,broken clouds,26.3544,127.8686,Kirari Guest House
381,Erzin,TR,66.15,clear sky,36.9559,36.2,Artemis Otel
382,Ambovombe,MG,67.57,broken clouds,-25.1667,46.0833,RELAHARA
385,Mbaiki,CF,76.95,overcast clouds,3.8678,17.9892,Motel MBM
393,Katra,IN,74.17,overcast clouds,32.9833,74.95,KC Residency Vaishnodevi
401,Popondetta,PG,71.94,few clouds,-8.7537,148.2534,Timos Transit House
407,Lucapa,AO,67.8,light rain,-8.4192,20.7447,Residência Ulisses Dos Santos
408,Nelson Bay,AU,65.08,broken clouds,-32.7167,152.15,Mantra Nelson Bay
411,Noumea,NC,75.99,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
413,Port Moresby,PG,76.42,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
415,Port Hedland,AU,71.65,light intensity shower rain,-20.3167,118.5667,The Esplanade Hotel
417,Makakilo City,US,77.2,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
418,Itoman,JP,79.18,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
420,Chardara,KZ,70.47,overcast clouds,41.2547,67.9692,Жанаргул
426,Manbij,SY,69.26,few clouds,36.5281,37.9549,Manbej City Hotel
428,Grand-Lahou,CI,79.81,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
435,Bhuban,IN,78.4,clear sky,20.8833,85.8333,Prasanta Sahoo
436,Buala,SB,79.84,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
440,Antibes,FR,65.14,few clouds,43.5624,7.1278,"ROYAL ANTIBES Luxury Hotel, Residence, Beach & Spa"
441,Cortez,US,67.69,overcast clouds,37.3489,-108.5859,Sand Canyon National 9 Inn
442,Srandakan,ID,77.27,scattered clouds,-7.9386,110.2506,Puri Brata
451,Banyuwangi,ID,74.97,overcast clouds,-8.2325,114.3576,Dannu's Homestay
