City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
72,Anzio,IT,4/27/22 17:20,41.4853,12.6179,70.99,71,7,9.91
73,Arraial Do Cabo,BR,4/27/22 17:20,-22.9661,-42.0278,87.76,65,0,18.41
74,Khatanga,RU,4/27/22 17:20,71.9667,102.5,9.25,85,48,9.22
75,Kapaa,US,4/27/22 17:20,22.0752,-159.319,71.92,97,20,10.36
76,Nizhniy Kuranakh,RU,4/27/22 17:20,58.8353,125.4869,27.3,96,100,5.19
77,Ust-Tsilma,RU,4/27/22 17:20,65.441,52.1498,25.14,88,100,4.03
78,Lagoa,PT,4/27/22 17:20,39.05,-27.9833,62.13,92,93,28.97
79,Isangel,VU,4/27/22 17:20,-19.55,169.2667,76.89,69,99,14.25
80,Russkaya Polyana,UA,4/27/22 17:20,49.417,31.9201,54.09,60,97,5.14
81,Saint-Pierre,RE,4/27/22 17:20,-21.3393,55.4781,73.9,82,0,3.44
82,Kudahuvadhoo,MV,4/27/22 17:20,2.6708,72.8944,84.47,71,77,4.79
83,Tiksi,RU,4/27/22 17:20,71.6872,128.8694,-4.7,100,92,3.96
84,Caracollo,PE,4/27/22 17:20,-14.9165,-70.6603,59.95,24,65,5.88
85,Bluff,NZ,4/27/22 17:21,-46.6,168.3333,49.68,84,63,5.95
86,Mataura,NZ,4/27/22 17:21,-46.1927,168.8643,41.09,98,8,2.26
87,Gravelbourg,CA,4/27/22 17:21,49.8834,-106.5512,50.27,41,71,17.67
88,Samfya,ZM,4/27/22 17:21,-11.3649,29.5565,67.42,79,66,8.21
89,Lompoc,US,4/27/22 17:21,34.6391,-120.4579,66.56,70,20,15.01
90,Kaitangata,NZ,4/27/22 17:21,-46.2817,169.8464,43.56,94,14,5.59
91,New Norfolk,AU,4/27/22 17:21,-42.7826,147.0587,56.91,87,100,1.9
92,Lasa,IT,4/27/22 17:16,46.6166,10.7002,59.36,64,15,3.13
93,Paris,FR,4/27/22 17:18,48.8534,2.3488,66.52,46,0,14.97
94,Sao Jose Da Coroa Grande,BR,4/27/22 17:21,-8.8978,-35.1478,82.33,76,47,10.27
95,Walvis Bay,NA,4/27/22 17:21,-22.9575,14.5053,76.15,46,0,6.91
96,Klaksvik,FO,4/27/22 17:21,62.2266,-6.589,47.32,73,99,11.68
97,Daura,NG,4/27/22 17:21,11.5538,11.4085,96.4,13,86,7
98,Port Lincoln,AU,4/27/22 17:21,-34.7333,135.8667,68.23,59,100,13.8
99,Strezhevoy,RU,4/27/22 17:21,60.7333,77.5889,43.43,95,99,8.55
100,Riverton,US,4/27/22 17:17,40.5219,-111.9391,69.3,29,40,11.01
101,Alexandria,EG,4/27/22 17:21,31.2156,29.9553,68.27,61,0,9.75
102,Te Anau,NZ,4/27/22 17:21,-45.4167,167.7167,42.85,95,19,1.25
103,Cookeville,US,4/27/22 17:21,36.1628,-85.5016,65.57,37,0,8.05
104,Kupang,ID,4/27/22 17:21,-10.1667,123.5833,75.36,84,33,4.92
105,Oranjestad,AW,4/27/22 17:21,12.524,-70.027,84.15,58,75,19.57
106,Matara,LK,4/27/22 17:21,5.9485,80.5353,81.12,83,19,2.55
107,Pandrup,DK,4/27/22 17:21,57.2215,9.6757,55.31,50,75,2.3
108,Male,MV,4/27/22 17:21,4.1748,73.5089,84.11,71,37,4.16
109,Chokurdakh,RU,4/27/22 17:21,70.6333,147.9167,12.13,96,100,7.78
110,Xambioa,BR,4/27/22 17:21,-6.4111,-48.5364,87.17,58,82,6.08
111,Thinadhoo,MV,4/27/22 17:21,0.5333,72.9333,83.77,74,100,4.27
112,Springbok,ZA,4/27/22 17:21,-29.6643,17.8865,69.01,22,0,9.46
113,Wasilla,US,4/27/22 17:17,61.5814,-149.4394,47.35,57,0,3.44
114,Bethel,US,4/27/22 17:21,41.3712,-73.414,55.2,55,100,9.22
115,Pevek,RU,4/27/22 17:21,69.7008,170.3133,27.39,78,100,13.94
116,Deputatskiy,RU,4/27/22 17:21,69.3,139.9,2.08,99,100,1.48
117,Hovd,MN,4/27/22 17:21,48.0056,91.6419,36,77,89,3.8
118,Salta,AR,4/27/22 17:20,-24.7859,-65.4117,80.58,52,0,5.75
119,Saint Anthony,US,4/27/22 17:21,45.0205,-93.218,43.72,43,0,14.97
120,Yaan,NG,4/27/22 17:21,7.3833,8.5667,83.12,60,89,10.65
121,Pascagoula,US,4/27/22 17:22,30.3658,-88.5561,76.41,39,0,6.91
122,Upernavik,GL,4/27/22 17:22,72.7868,-56.1549,34.84,74,100,6.69
123,Garowe,SO,4/27/22 17:22,8.4054,48.4845,83.46,55,100,19.93
124,Kapoeta,SS,4/27/22 17:22,4.7717,33.5903,80.85,56,90,9.17
125,Saint George,US,4/27/22 17:17,37.1041,-113.5841,78.8,11,0,3
126,Espana,PH,4/27/22 17:22,12.3841,122.499,82.65,79,98,12.77
127,Baragua,CU,4/27/22 17:22,21.6967,-78.6328,88.99,33,2,12.41
128,Salekhard,RU,4/27/22 17:22,66.53,66.6019,18.91,83,1,8.52
129,Sao Filipe,CV,4/27/22 17:22,14.8961,-24.4956,74.57,65,17,14.2
130,Bredasdorp,ZA,4/27/22 17:22,-34.5322,20.0403,58.08,84,6,4.47
131,Namibe,AO,4/27/22 17:22,-15.1961,12.1522,74.03,78,75,11.5
