City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Victoria,HK,22.2855,114.1577,82.18,88,9,10,clear sky
80,Aykhal,RU,66,111.5,23.95,88,100,7.99,overcast clouds
81,Otradnoye,RU,59.7775,30.8181,37.96,62,100,3.76,overcast clouds
82,Bambous Virieux,MU,-20.3428,57.7575,75.22,94,20,4.61,few clouds
83,Kruisfontein,ZA,-34.0033,24.7314,56.88,67,34,4.34,scattered clouds
84,Andenes,NO,69.3143,16.1194,30.18,64,40,20.71,light snow
85,Lethem,GY,3.3803,-59.7968,82.45,89,40,13.8,thunderstorm
86,Torbay,CA,47.6666,-52.7314,48.76,85,75,9.22,broken clouds
87,Hasaki,JP,35.7333,140.8333,52.29,73,100,10.6,overcast clouds
88,Carnarvon,AU,-24.8667,113.6333,62.67,72,0,11.5,clear sky
89,San Rafael,AR,-34.6177,-68.3301,56.77,29,0,8.84,clear sky
90,Havre-Saint-Pierre,CA,50.2334,-63.5986,39.56,87,100,14.97,overcast clouds
91,Teya,RU,60.3778,92.6267,44.04,95,93,7,overcast clouds
92,Conakry,GN,9.538,-13.6773,84.27,70,40,16.11,scattered clouds
93,Manzanillo,CU,20.3433,-77.1167,86.36,34,38,5.88,scattered clouds
94,Atuona,PF,-9.8,-139.0333,78.64,78,68,21.16,light rain
95,Quang Ngai,VN,15.1167,108.8,76.23,91,100,3,overcast clouds
96,Simpang,ID,-1.2667,104.0833,75.76,97,100,2.33,overcast clouds
97,Georgetown,MY,5.4112,100.3354,82.35,83,40,3.44,thunderstorm
98,Butaritari,KI,3.0707,172.7902,80.96,81,99,17,overcast clouds
99,Castro,BR,-24.7911,-50.0119,69.91,81,98,5.48,overcast clouds
100,Oranjemund,NA,-28.55,16.4333,57.25,89,0,3.13,clear sky
101,Lyubech,UA,51.7026,30.6569,46.06,68,10,6.67,clear sky
102,Waipawa,NZ,-41.4122,175.5153,49.57,78,91,2.17,overcast clouds
103,Fort Walton Beach,US,30.4058,-86.6188,84.67,66,20,12.66,few clouds
104,Ongandjera,NA,-17.8833,15.0667,79.81,29,46,5.75,scattered clouds
105,Schwedt,DE,53.0596,14.2815,53.24,76,12,5.23,few clouds
106,Souillac,MU,-20.5167,57.5167,73.78,94,20,4.61,few clouds
107,Pevek,RU,69.7008,170.3133,18.39,98,100,1.48,overcast clouds
108,Rocha,UY,-34.4833,-54.3333,63.3,54,0,10.89,clear sky
109,Bredasdorp,ZA,-34.5322,20.0403,57.69,94,6,2.71,clear sky
110,Bairiki,KI,1.3292,172.9752,80.6,89,20,6.91,few clouds
111,Marystown,CA,47.1666,-55.1483,42.35,77,100,10.69,overcast clouds
112,Antofagasta,CL,-23.65,-70.4,63.68,72,95,7.49,overcast clouds
113,Airai,TL,-8.9266,125.4092,57.85,90,87,2.13,overcast clouds
114,Chokurdakh,RU,70.6333,147.9167,-10.34,100,100,4.05,overcast clouds
115,General Pico,AR,-35.6566,-63.7568,61.7,21,46,11.3,scattered clouds
116,Nikolskoye,RU,59.7035,30.7861,37.8,62,100,3.67,overcast clouds
117,Sukumo,JP,32.9333,132.7333,66.02,96,100,7.52,overcast clouds
118,Saint-Joseph,RE,-21.3667,55.6167,74.21,80,15,3.8,few clouds
119,Axim,GH,4.8699,-2.2405,78.76,83,100,4.12,overcast clouds
120,Merrill,US,45.1805,-89.6835,50.77,42,100,10.36,overcast clouds
121,Kendari,ID,-3.945,122.4989,75.43,94,97,2.82,overcast clouds
122,Tchollire,CM,8.4022,14.1698,83.46,52,50,1.36,scattered clouds
123,Mersing,MY,2.4312,103.8405,78.71,94,40,4.61,scattered clouds
124,Chapais,CA,49.7834,-74.8492,35.38,52,6,12.93,clear sky
125,Mahebourg,MU,-20.4081,57.7,75.25,94,20,4.61,few clouds
126,Taoudenni,ML,22.6783,-3.9836,92.17,8,0,5.37,clear sky
127,Simao,CN,22.7886,100.9748,66.47,38,5,0.49,clear sky
128,New Norfolk,AU,-42.7826,147.0587,58.71,85,1,2.59,clear sky
129,Kotido,UG,2.9806,34.1331,65.8,89,100,4.74,overcast clouds
130,Longonjo,AO,-12.9067,15.2533,68.11,73,100,3.09,light rain
131,Broome,US,42.2506,-75.833,49.05,26,0,25.32,clear sky
132,Sibolga,ID,1.7427,98.7792,77.14,89,100,2.75,overcast clouds
133,Luena,AO,-11.7833,19.9167,68.47,66,100,3.96,overcast clouds
134,Revda,RU,56.801,59.9303,40.12,72,92,12.1,overcast clouds
135,Cayenne,GF,4.9333,-52.3333,85.08,4,75,14.97,broken clouds
136,Khatanga,RU,71.9667,102.5,9.34,95,94,7.11,overcast clouds
137,Porto Novo,BJ,6.4965,2.6036,84.02,75,74,6.33,broken clouds
138,Poum,NC,-20.2333,164.0167,74.8,83,100,11.61,overcast clouds
139,Alofi,NU,-19.0595,-169.9187,76.89,94,94,9.22,overcast clouds
140,Beli Potok,RS,44.7061,20.5197,53.06,83,74,7.2,broken clouds
141,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.79,100,100,4.47,light shower snow
142,Kaitangata,NZ,-46.2817,169.8464,43.65,95,13,3.49,few clouds
143,Tadine,NC,-21.55,167.8833,72.18,85,100,19.08,overcast clouds
144,Xihe,CN,31.6864,113.4659,50.43,87,100,9.33,overcast clouds
145,Saravan,AM,39.7196,45.6483,49.82,80,68,5.26,broken clouds
146,Bethel,US,41.3712,-73.414,56.03,30,0,17.27,clear sky
147,Porosozero,RU,62.7191,32.727,28.92,77,100,8.1,overcast clouds
148,Zhuanghe,CN,39.7008,122.9911,46.35,50,15,6.11,few clouds
149,Sur,OM,22.5667,59.5289,87.91,54,82,3.91,broken clouds
150,Asau,RO,46.4333,26.4,50.95,100,100,4.23,overcast clouds
151,Fort Nelson,CA,58.8053,-122.7002,33.39,93,100,12.66,light snow
152,Clyde River,CA,70.4692,-68.5914,10.63,72,75,17.27,broken clouds
153,Mount Isa,AU,-20.7333,139.5,76.77,73,75,6.91,broken clouds
